campaign_name,campaign_logo,automation,last_updated_at,code,date,original_currency,country,customer_type,ad_set,month,month_number,order_id,aov,net_orders,net_revenue,net_sales_amount,net_sales_amount_usd,net_aov_usd,orders,revenue,sales_amount,sales_amount_usd,aov_usd
LC Waikiki,https://cdn.arabyads.com/boostiny//campaigns/August2021/c1rbR5AE7ApHF2hlgzrd.png,google_sheet,27-05-22 4:11,W24,13-01-22,usd,egy,na,lc waikik,Jan-22,Jan-22,1185,na,3,5.37,89.43,89.43,29.81,0,0,0,0,
Sivvi,https://dl.airtable.com/.attachments/c0e577463123d9f154fff0733f36ad41/742ef97d/Sivvi.png,data_studio,17-06-22 9:37,UAE25,31-01-22,USD,ARE,na,,Jan-22,Jan-22,27649,na,1,8.5,94.40326976,94.40326976,94.40326976,0,0,0,0,
Mamas & Papas,https://dl.airtable.com/.attachments/3adfc1eee752ea0a9409f077762fc218/27a70fb2/dsfh5qk7sv0lagl5mkb5.webp,data_studio,17-06-22 9:37,M117,08-01-22,usd,SAU,na,,Jan-22,Jan-22,234,na,5,3.76,46.98392371,46.98392371,9.396784741,0,0,0,0,
Noon Egypt,https://dl.airtable.com/.attachments/5a78c2c14964179310ba4230ee8a63b8/e37bcffe/noon_logo.jpg,data_studio,17-06-22 9:37,HOOR80,05-01-22,AED,EGY,na,10% MarketPlace-5% On Grocery,Jan-22,Jan-22,7554,200+,1,4.2,44.08,12.00271952,12.00271952,0,0,0,0,
Noon Egypt,https://dl.airtable.com/.attachments/5a78c2c14964179310ba4230ee8a63b8/e37bcffe/noon_logo.jpg,data_studio,17-06-22 9:37,TG35,02-01-22,AED,EGY,na,10%,Jan-22,Jan-22,3103,0-200,1,0.7,41.87,11.40094978,11.40094978,0,0,0,0,
Noon Egypt,https://dl.airtable.com/.attachments/5a78c2c14964179310ba4230ee8a63b8/e37bcffe/noon_logo.jpg,data_studio,17-06-22 9:37,DINA80,30-01-22,AED,EGY,na,10% MarketPlace-5% On Grocery,Jan-22,Jan-22,51596,0-200,1,0.7,29.01,7.89924894,7.89924894,0,0,0,0,
Noon Egypt,https://dl.airtable.com/.attachments/5a78c2c14964179310ba4230ee8a63b8/e37bcffe/noon_logo.jpg,data_studio,17-06-22 9:37,TG23,27-01-22,AED,EGY,na,10%,Jan-22,Jan-22,48561,200+,1,4.2,177.42,48.31040148,48.31040148,0,0,0,0,
Noon GCC,https://dl.airtable.com/.attachments/5682bae55707ca570b359f7d80ea379c/488eb14b/noon_logo.jpg,data_studio,17-06-22 9:37,HY72,27-01-22,AED,ARE,na,10%,Jan-22,Jan-22,116577,100+,1,2.5,148,40.299512,40.299512,0,0,0,0,
Bath and Body Works EG,https://cdn.arabyads.com/boostiny//campaigns/November2020/zGBCYmoF5M6C1YfLAmMI.png,data_studio,17-06-22 9:37,A023,31-01-22,USD,EGY,NEW,5%,Jan-22,Jan-22,1562,na,1,1.8,44.643,44.643,44.643,0,0,0,0,
Namshi,https://dl.airtable.com/.attachments/230027b31560f0bceb7ab3c35104ef08/b1bf0753/1200x630wa.png,data_studio,17-06-22 9:37,FUN189,26-01-22,USD,ARE,Returning,,Jan-22,Jan-22,6456,na,1,2.5,73.64737917,73.64737917,73.64737917,0,0,0,0,
